

==============================================================================================================
ROUND 475 - HIS CONTINUATION CONFLUENCES AS PARTITIONS OF ROUND 450's   [r450window]
==============================================================================================================
window 2026-03-01 -> 2026-07-26 UTC (147 days)
choosing -> 2026-05-28 16:00,  middle -> 2026-06-27 05:20,  sealed 2026-06-27 -> 2026-07-26
sealed look permitted from this window: YES
parent population = round 450 arm B (1-minute trigger), unchanged.
confluences read on the FIVE-minute chart (step432 s2), evaluated at
the close of the 1-minute trigger bar. Order blocks and breaker
blocks are NOT built (step436 s1 - he retired them).
cost 0.5% of notional round trip, charged for honesty and
used to decide nothing (owner rule 2026-07-25).
  BTCUSD: 5m 42,537 bars, 1m 208,831 bars, 6,614 five-minute gaps found
  ETHUSD: 5m 40,974 bars, 1m 142,357 bars, 15,297 five-minute gaps found
  SOLUSD: 5m 41,477 bars, 1m 151,280 bars, 12,434 five-minute gaps found

--------------------------------------------------------------------------------------------------------------
WHAT THE CONFLUENCE REQUIREMENT ACTUALLY REMOVES (all entries, all slices)
--------------------------------------------------------------------------------------------------------------
partition                             entries kept   share of parent
parent (bare sweep -> 1m BOS)                7,439            100.0%
EQ                                           3,599             48.4%
FVG                                          1,068             14.4%
EITHER                                       3,975             53.4%
EQ_LEG (reported only, barred)               3,542             47.6%

His own check (step436 s11): he trades a third to two thirds of days.
A partition that keeps nearly everything has not filtered anything.

==============================================================================================================
EACH CELL, PARENT vs PARTITION vs COMPLEMENT  (net %, pooled BTC+ETH+SOL)
==============================================================================================================
cell                                      filter  n_tr    netTR    netVA    parTR    parVA   compTR   stop%    lev
last session low -> 1m BOS, hold 24h          EQ  4725  -0.2741  -0.2852  -0.2665  -0.3365  -0.2535   0.444   2.3x
last session low -> 1m BOS, hold 24h         FVG  1060  -0.2874  -0.1857  -0.2665  -0.3365  -0.2631   0.309   3.2x
last session low -> 1m BOS, hold 24h      EITHER  4933  -0.2713  -0.2866  -0.2665  -0.3365  -0.2572   0.438   2.3x
last session low -> 1m BOS, hold 24h      EQ_LEG  4447  -0.2924  -0.2952  -0.2665  -0.3365  -0.2285   0.369   2.7x
last session low -> 1m BOS, target 1R         EQ  4725  -0.4105  -0.4245  -0.4124  -0.4489  -0.4156   0.444   2.3x
last session low -> 1m BOS, target 1R        FVG  1060  -0.4021  -0.4501  -0.4124  -0.4489  -0.4141   0.309   3.2x
last session low -> 1m BOS, target 1R     EITHER  4933  -0.4093  -0.4327  -0.4124  -0.4489  -0.4184   0.438   2.3x
last session low -> 1m BOS, target 1R     EQ_LEG  4447  -0.4199  -0.4269  -0.4124  -0.4489  -0.4014   0.369   2.7x
last session low -> 1m BOS, target 2R         EQ  4725  -0.3559  -0.3676  -0.3606  -0.4069  -0.3686   0.444   2.3x
last session low -> 1m BOS, target 2R        FVG  1060  -0.3315  -0.3851  -0.3606  -0.4069  -0.3654   0.309   3.2x
last session low -> 1m BOS, target 2R     EITHER  4933  -0.3554  -0.3771  -0.3606  -0.4069  -0.3705   0.438   2.3x
last session low -> 1m BOS, target 2R     EQ_LEG  4447  -0.3587  -0.3621  -0.3606  -0.4069  -0.3633   0.369   2.7x
last session low -> 1m BOS, target 3R         EQ  4725  -0.3200  -0.3433  -0.3233  -0.3883  -0.3290   0.444   2.3x
last session low -> 1m BOS, target 3R        FVG  1060  -0.2759  -0.3792  -0.3233  -0.3883  -0.3312   0.309   3.2x
last session low -> 1m BOS, target 3R     EITHER  4933  -0.3196  -0.3640  -0.3233  -0.3883  -0.3306   0.438   2.3x
last session low -> 1m BOS, target 3R     EQ_LEG  4447  -0.3229  -0.3366  -0.3233  -0.3883  -0.3239   0.369   2.7x
last session high -> 1m BOS, hold 24h         EQ  4615  -0.2809  -0.3272  -0.3538  -0.3353  -0.4710   0.361   2.8x
last session high -> 1m BOS, hold 24h        FVG  1033  -0.3335  -0.4874  -0.3538  -0.3353  -0.3571   0.275   3.6x
last session high -> 1m BOS, hold 24h     EITHER  4847  -0.2867  -0.3456  -0.3538  -0.3353  -0.4770   0.356   2.8x
last session high -> 1m BOS, hold 24h     EQ_LEG  4432  -0.2855  -0.3118  -0.3538  -0.3353  -0.4529   0.313   3.2x
last session high -> 1m BOS, target 1R        EQ  4615  -0.4027  -0.4085  -0.4395  -0.4338  -0.4986   0.361   2.8x
last session high -> 1m BOS, target 1R       FVG  1033  -0.4437  -0.4657  -0.4395  -0.4338  -0.4388   0.275   3.6x
last session high -> 1m BOS, target 1R    EITHER  4847  -0.4054  -0.4164  -0.4395  -0.4338  -0.5020   0.356   2.8x
last session high -> 1m BOS, target 1R    EQ_LEG  4432  -0.4173  -0.4117  -0.4395  -0.4338  -0.4717   0.313   3.2x
last session high -> 1m BOS, target 2R        EQ  4615  -0.3385  -0.3377  -0.3891  -0.3906  -0.4704   0.361   2.8x
last session high -> 1m BOS, target 2R       FVG  1033  -0.3693  -0.4492  -0.3891  -0.3906  -0.3923   0.275   3.6x
last session high -> 1m BOS, target 2R    EITHER  4847  -0.3417  -0.3556  -0.3891  -0.3906  -0.4763   0.356   2.8x
last session high -> 1m BOS, target 2R    EQ_LEG  4432  -0.3569  -0.3456  -0.3891  -0.3906  -0.4360   0.313   3.2x
last session high -> 1m BOS, target 3R        EQ  4615  -0.2980  -0.3413  -0.3551  -0.3817  -0.4468   0.361   2.8x
last session high -> 1m BOS, target 3R       FVG  1033  -0.3364  -0.4423  -0.3551  -0.3817  -0.3581   0.275   3.6x
last session high -> 1m BOS, target 3R    EITHER  4847  -0.3043  -0.3568  -0.3551  -0.3817  -0.4484   0.356   2.8x
last session high -> 1m BOS, target 3R    EQ_LEG  4432  -0.3188  -0.3527  -0.3551  -0.3817  -0.4078   0.313   3.2x
1h swing low -> 1m BOS, hold 24h              EQ  7300  -0.2525  -0.2920  -0.2626  -0.3514  -0.2812   0.393   2.5x
1h swing low -> 1m BOS, hold 24h             FVG  1661  -0.3161  -0.3357  -0.2626  -0.3514  -0.2533   0.300   3.3x
1h swing low -> 1m BOS, hold 24h          EITHER  7679  -0.2561  -0.3110  -0.2626  -0.3514  -0.2765   0.387   2.6x
1h swing low -> 1m BOS, hold 24h          EQ_LEG  6790  -0.2723  -0.2980  -0.2626  -0.3514  -0.2478   0.345   2.9x
1h swing low -> 1m BOS, target 1R             EQ  7300  -0.4071  -0.4223  -0.4197  -0.4379  -0.4432   0.393   2.5x
1h swing low -> 1m BOS, target 1R            FVG  1661  -0.4307  -0.4471  -0.4197  -0.4379  -0.4178   0.300   3.3x
1h swing low -> 1m BOS, target 1R         EITHER  7679  -0.4086  -0.4278  -0.4197  -0.4379  -0.4437   0.387   2.6x
1h swing low -> 1m BOS, target 1R         EQ_LEG  6790  -0.4225  -0.4329  -0.4197  -0.4379  -0.4155   0.345   2.9x
1h swing low -> 1m BOS, target 2R             EQ  7300  -0.3514  -0.3756  -0.3674  -0.4049  -0.3970   0.393   2.5x
1h swing low -> 1m BOS, target 2R            FVG  1661  -0.3727  -0.4163  -0.3674  -0.4049  -0.3665   0.300   3.3x
1h swing low -> 1m BOS, target 2R         EITHER  7679  -0.3531  -0.3906  -0.3674  -0.4049  -0.3982   0.387   2.6x
1h swing low -> 1m BOS, target 2R         EQ_LEG  6790  -0.3692  -0.3794  -0.3674  -0.4049  -0.3647   0.345   2.9x
1h swing low -> 1m BOS, target 3R             EQ  7300  -0.3208  -0.3590  -0.3372  -0.3876  -0.3675   0.393   2.5x
1h swing low -> 1m BOS, target 3R            FVG  1661  -0.3520  -0.4089  -0.3372  -0.3876  -0.3346   0.300   3.3x
1h swing low -> 1m BOS, target 3R         EITHER  7679  -0.3234  -0.3772  -0.3372  -0.3876  -0.3669   0.387   2.6x
1h swing low -> 1m BOS, target 3R         EQ_LEG  6790  -0.3408  -0.3621  -0.3372  -0.3876  -0.3318   0.345   2.9x
1h swing high -> 1m BOS, hold 24h             EQ  7265  -0.3203  -0.4051  -0.3699  -0.4079  -0.4554   0.335   3.0x
1h swing high -> 1m BOS, hold 24h            FVG  1704  -0.3546  -0.3733  -0.3699  -0.4079  -0.3725   0.256   3.9x
1h swing high -> 1m BOS, hold 24h         EITHER  7677  -0.3270  -0.3971  -0.3699  -0.4079  -0.4564   0.330   3.0x
1h swing high -> 1m BOS, hold 24h         EQ_LEG  6891  -0.3337  -0.3702  -0.3699  -0.4079  -0.4242   0.297   3.4x
1h swing high -> 1m BOS, target 1R            EQ  7265  -0.4057  -0.4409  -0.4273  -0.4687  -0.4646   0.335   3.0x
1h swing high -> 1m BOS, target 1R           FVG  1704  -0.4370  -0.4524  -0.4273  -0.4687  -0.4256   0.256   3.9x
1h swing high -> 1m BOS, target 1R        EITHER  7677  -0.4081  -0.4458  -0.4273  -0.4687  -0.4660   0.330   3.0x
1h swing high -> 1m BOS, target 1R        EQ_LEG  6891  -0.4204  -0.4341  -0.4273  -0.4687  -0.4377   0.297   3.4x
1h swing high -> 1m BOS, target 2R            EQ  7265  -0.3453  -0.3775  -0.3847  -0.4382  -0.4527   0.335   3.0x
1h swing high -> 1m BOS, target 2R           FVG  1704  -0.3901  -0.4203  -0.3847  -0.4382  -0.3837   0.256   3.9x
1h swing high -> 1m BOS, target 2R        EITHER  7677  -0.3507  -0.3882  -0.3847  -0.4382  -0.4533   0.330   3.0x
1h swing high -> 1m BOS, target 2R        EQ_LEG  6891  -0.3625  -0.3740  -0.3847  -0.4382  -0.4181   0.297   3.4x
1h swing high -> 1m BOS, target 3R            EQ  7265  -0.3219  -0.3969  -0.3618  -0.4339  -0.4306   0.335   3.0x
1h swing high -> 1m BOS, target 3R           FVG  1704  -0.3746  -0.4201  -0.3618  -0.4339  -0.3596   0.256   3.9x
1h swing high -> 1m BOS, target 3R        EITHER  7677  -0.3283  -0.4037  -0.3618  -0.4339  -0.4294   0.330   3.0x
1h swing high -> 1m BOS, target 3R        EQ_LEG  6891  -0.3355  -0.3891  -0.3618  -0.4339  -0.4013   0.297   3.4x
4h swing low -> 1m BOS, hold 24h              EQ  2823  -0.2260  -0.2200  -0.2092  -0.3191  -0.1855   0.435   2.3x
4h swing low -> 1m BOS, hold 24h             FVG   646  -0.3732  -0.0619  -0.2092  -0.3191  -0.1838   0.312   3.2x
4h swing low -> 1m BOS, hold 24h          EITHER  2978  -0.2323  -0.2201  -0.2092  -0.3191  -0.1719   0.428   2.3x
4h swing low -> 1m BOS, hold 24h          EQ_LEG  2739  -0.2279  -0.1912  -0.2092  -0.3191  -0.1847   0.353   2.8x
4h swing low -> 1m BOS, target 1R             EQ  2823  -0.3742  -0.4314  -0.3958  -0.4485  -0.4263   0.435   2.3x
4h swing low -> 1m BOS, target 1R            FVG   646  -0.4099  -0.4180  -0.3958  -0.4485  -0.3937   0.312   3.2x
4h swing low -> 1m BOS, target 1R         EITHER  2978  -0.3774  -0.4299  -0.3958  -0.4485  -0.4255   0.428   2.3x
4h swing low -> 1m BOS, target 1R         EQ_LEG  2739  -0.3914  -0.4398  -0.3958  -0.4485  -0.4016   0.353   2.8x
4h swing low -> 1m BOS, target 2R             EQ  2823  -0.3074  -0.3857  -0.3314  -0.4154  -0.3652   0.435   2.3x
4h swing low -> 1m BOS, target 2R            FVG   646  -0.3294  -0.3590  -0.3314  -0.4154  -0.3317   0.312   3.2x
4h swing low -> 1m BOS, target 2R         EITHER  2978  -0.3099  -0.3817  -0.3314  -0.4154  -0.3660   0.428   2.3x
4h swing low -> 1m BOS, target 2R         EQ_LEG  2739  -0.3244  -0.3800  -0.3314  -0.4154  -0.3406   0.353   2.8x
4h swing low -> 1m BOS, target 3R             EQ  2823  -0.2836  -0.3375  -0.3094  -0.3903  -0.3458   0.435   2.3x
4h swing low -> 1m BOS, target 3R            FVG   646  -0.3008  -0.3206  -0.3094  -0.3903  -0.3107   0.312   3.2x
4h swing low -> 1m BOS, target 3R         EITHER  2978  -0.2874  -0.3389  -0.3094  -0.3903  -0.3449   0.428   2.3x
4h swing low -> 1m BOS, target 3R         EQ_LEG  2739  -0.2940  -0.3347  -0.3094  -0.3903  -0.3296   0.353   2.8x
4h swing high -> 1m BOS, hold 24h             EQ  2924  -0.1968  -0.3947  -0.2889  -0.3879  -0.4196   0.350   2.9x
4h swing high -> 1m BOS, hold 24h            FVG   699  -0.2925  -0.4556  -0.2889  -0.3879  -0.2883   0.286   3.5x
4h swing high -> 1m BOS, hold 24h         EITHER  3105  -0.2137  -0.4050  -0.2889  -0.3879  -0.4131   0.346   2.9x
4h swing high -> 1m BOS, hold 24h         EQ_LEG  2857  -0.1973  -0.3810  -0.2889  -0.3879  -0.4119   0.301   3.3x
4h swing high -> 1m BOS, target 1R            EQ  2924  -0.3909  -0.4254  -0.4369  -0.4359  -0.5021   0.350   2.9x
4h swing high -> 1m BOS, target 1R           FVG   699  -0.4440  -0.4533  -0.4369  -0.4359  -0.4357   0.286   3.5x
4h swing high -> 1m BOS, target 1R        EITHER  3105  -0.3981  -0.4317  -0.4369  -0.4359  -0.5009   0.346   2.9x
4h swing high -> 1m BOS, target 1R        EQ_LEG  2857  -0.4017  -0.4113  -0.4369  -0.4359  -0.4841   0.301   3.3x
4h swing high -> 1m BOS, target 2R            EQ  2924  -0.3109  -0.3363  -0.3822  -0.3747  -0.4833   0.350   2.9x
4h swing high -> 1m BOS, target 2R           FVG   699  -0.3770  -0.4029  -0.3822  -0.3747  -0.3830   0.286   3.5x
4h swing high -> 1m BOS, target 2R        EITHER  3105  -0.3236  -0.3486  -0.3822  -0.3747  -0.4790   0.346   2.9x
4h swing high -> 1m BOS, target 2R        EQ_LEG  2857  -0.3245  -0.3382  -0.3822  -0.3747  -0.4597   0.301   3.3x
4h swing high -> 1m BOS, target 3R            EQ  2924  -0.2817  -0.3769  -0.3635  -0.3668  -0.4794   0.350   2.9x
4h swing high -> 1m BOS, target 3R           FVG   699  -0.3327  -0.4045  -0.3635  -0.3668  -0.3685   0.286   3.5x
4h swing high -> 1m BOS, target 3R        EITHER  3105  -0.2951  -0.3829  -0.3635  -0.3668  -0.4763   0.346   2.9x
4h swing high -> 1m BOS, target 3R        EQ_LEG  2857  -0.2871  -0.3776  -0.3635  -0.3668  -0.4660   0.301   3.3x

==============================================================================================================
VERDICT
==============================================================================================================
96 partition cells scored (the three qualifying filters over the
round-450 arm-B cells thick enough to score).
EXPECTED BY CHANCE with no partition effect at all: a symmetric
zero-mean cell passes both slices about 1 time in 4, and beats its
parent on both slices about 1 time in 4 again, so roughly
6.0 of 96 would clear the full bar on luck alone.

CELLS CLEARING THE FULL BAR: 0
None. The final 20% of this window stays SEALED.

==============================================================================================================
DOES THE CONFLUENCE SELECT A BETTER SUBSET? - choosing slice, GROSS, one row per entry
==============================================================================================================
population                          entries  mean gross       t  median stop  lev @1%
parent (bare sweep -> 1m BOS)        42,354     0.1769%   15.33       0.240%     4.2x
  kept by EQ                         25,684     0.1912%   13.76       0.255%     3.9x
  thrown away by EQ                  16,670     0.1549%    7.74       0.216%     4.6x
  kept by FVG                         5,962     0.1445%    5.85       0.200%     5.0x
  thrown away by FVG                 36,392     0.1822%   14.23       0.248%     4.0x
  kept by EITHER                     27,136     0.1870%   13.89       0.250%     4.0x
  thrown away by EITHER              15,218     0.1588%    7.44       0.222%     4.5x
  kept by EQ_LEG                     24,638     0.1795%   13.50       0.224%     4.5x
  thrown away by EQ_LEG              17,716     0.1733%    8.47       0.266%     3.8x

kept minus thrown away, the only comparison that tests the partition:
  EQ       +0.0363% of price per entry   t =   1.49   kept 25,684 / thrown 16,670
  FVG      -0.0377% of price per entry   t =  -1.36   kept 5,962 / thrown 36,392
  EITHER   +0.0282% of price per entry   t =   1.12   kept 27,136 / thrown 15,218
  EQ_LEG   +0.0061% of price per entry   t =   0.25   kept 24,638 / thrown 17,716  (barred from qualifying)


==============================================================================================================
SEALED SLICE
==============================================================================================================

==============================================================================================================
SEALED SLICE - ONE LOOK, TAKEN ON: 4h swing low -> 1m BOS, hold 24h   filter FVG
==============================================================================================================
trades 24   gross +0.7244%   net +0.2244%   net R -1.984   win 20.8%
   BTCUSD   n    4   gross +0.6078%   net +0.1078%
   ETHUSD   n   10   gross +0.8173%   net +0.3173%
   SOLUSD   n   10   gross +0.6782%   net +0.1782%

ONE LOOK CONSUMED. The crypto 1-minute sweep-to-BOS family's final
20% is now spent and must never be re-opened for this family.
