source_url,instrument,timeframe,setup_family,entry_trigger,context_required,stop_rule,target_rule,claimed_outcome,real_or_teaching
https://www.luxalgo.com/blog/ultimate-guide-to-stochastic-divergence-trading/,generic (unspecified across the underlying study),unspecified,"Divergence (stochastic, trend-context statistic)","n/a -- this is a cited statistic, not a specific setup","Cited study: divergence signals had a 62% win rate when taken in a TRENDING market vs 48% in a RANGING market (1000-trade sample, attributed by LuxAlgo to a Timothy Sykes blog post)",n/a,n/a,62% win rate (trending) vs 48% (ranging); LuxAlgo does not break this down by regular vs hidden divergence,"cited statistic of unclear/secondary provenance -- treat as anecdotal, not verified research"
https://www.tradingview.com/chart/GBPUSD/B7c09Qug-Mastering-MACD-Complete-Guide-10-ways-to-trade-it/,GBP/USD (used for illustration),not fixed -- guide covers multiple,MACD signal-line crossover,MACD line crosses above the signal line (bullish) or below it (bearish),"Guide explicitly warns to require confirmation from price action or another indicator, e.g. a breakout above resistance -- crossover alone is not treated as sufficient",Below the recent swing low (long) / above recent swing high (short),Minimum 1:2 risk:reward at the next resistance/support,Rule description only,teaching/rule
https://www.luxalgo.com/blog/macd-divergence-screening-on-tradingview/,generic,not fixed,MACD divergence,"Price prints a lower low while MACD histogram prints a higher low (bullish), confirmed by a candlestick reversal pattern (e.g. piercing line) at the level",Divergence must align with a strong pre-existing support/resistance level -- guide frames a bare MACD divergence signal as weak without that structural confluence,Below recent swing low (bullish) / above recent swing high (bearish),Not specified numerically,Rule description only,teaching/rule
https://www.tradingview.com/chart/GBPUSD/B7c09Qug-Mastering-MACD-Complete-Guide-10-ways-to-trade-it/,GBP/USD (illustration),not fixed,MACD zero-line cross (trend confirmation),MACD line crosses above/below the zero line,"Guide treats this as a VALIDATION layer only -- to be combined with candlestick patterns, trendline breaks, or a moving-average trend read, never used standalone",Not specified,Not specified,Rule description only,teaching/rule
https://www.tradingview.com/chart/GBPUSD/B7c09Qug-Mastering-MACD-Complete-Guide-10-ways-to-trade-it/,GBP/USD (illustration),"Higher TF for bias, lower TF for entry",MACD multi-timeframe confirmation,MACD signal on the entry timeframe only taken when the higher-timeframe MACD agrees on direction,Higher timeframe sets the directional bias first; lower timeframe is used only to refine entry timing within that bias,Not specified,Not specified,Guide's own stated rationale: 'minimizes the risk of false signals',teaching/rule
https://www.tradingsim.com/blog/golden-cross,S&P 500,Daily (50-day/200-day SMA),Moving-average system (golden cross),50-day SMA crosses above the 200-day SMA,"Treated as a medium-to-long-term bullish regime signal, not a precision entry -- article separately warns golden crosses in RANGE-BOUND markets produce frequent false signals because the two MAs whipsaw across each other","Not specified (positional/regime signal, not a tight-stop trade)",Not specified,+32.4% gain on the S&P 500 from the golden cross in July 2020 to March 2022,documented real market event
https://www.tradingsim.com/blog/golden-cross,Tesla (TSLA),Daily,Moving-average system (golden cross),50-period SMA crosses above the 200-period SMA,"Same as above -- presented as illustrative chart, not tied to a specific date range or level",Not specified,Not specified,Chart shown as a 'classic' example; no P&L stated,illustrative teaching example
https://www.tradingsim.com/blog/golden-cross,generic (broad market composite),Daily,Moving-average system (golden cross) -- forward-return statistic,"n/a -- statistic, not a single trade",Historical average forward returns measured FROM the golden-cross date,n/a,n/a,Average returns of +0.53%/+0.89%/+2.64%/+8.17%/+10.45%/+20.95% at 10/20/40/80/160/320 days after the cross,cited historical statistic
https://swingfolio.com/blog/ema-pullback-trading-strategy,"US equities (screen-based, not one ticker)",Daily,"Moving-average system (EMA pullback, trend continuation)",Bullish engulfing candle closing on a pullback into the 21/34-EMA zone,"Screen requires: price closing above the 200-EMA, the 50-EMA rising, AND price making higher highs/higher lows BEFORE the pullback; RSI approximately 40-50 during the pullback (not oversold -- a shallow pullback in a strong trend, not a deep dip)",Below the pullback low,Not fixed; position sized to risk 1% of equity,"Rule description only, no aggregate win-rate stated",teaching/rule
https://quant-signals.com/ema-crossover-strategy/,BTC/USD,Daily,Moving-average system (EMA 9/21 crossover),9-EMA crosses above/below the 21-EMA,"Article's stated finding: trend-following MA systems outperformed mean-reversion RSI systems specifically because the 2020-2025 backtest window had strong directional trends in crypto/gold -- i.e. the edge is conditional on the regime, not universal","Not detailed in the summary (backtested system, not a discretionary rule)",Not detailed in the summary,"88 trades, profit factor 1.59, Sharpe 3.49, +0.330R per trade average","documented backtest (quantitative study, not a single discretionary trade)"
https://quant-signals.com/ema-crossover-strategy/,EUR/USD (vs. GBP/USD comparison),Daily (vs. GBP/USD 1H),Moving-average system (EMA 9/21 crossover) -- cross-asset transfer check,Same 9/21 EMA cross rule applied unchanged to a second asset/timeframe,"Article explicitly reports the SAME rule degrading on a different pair/timeframe (GBP/USD 1H went to -0.071R) -- an in-source transfer-check failure, directly analogous to this project's own BTC-to-ETH transfer tests",Not detailed,Not detailed,"EUR/USD daily: 59 trades, PF 1.47, +0.271R/trade. GBP/USD 1H (same rule): -0.071R/trade",documented backtest
"https://www.tradingview.com (Gold trading idea, aggregated via TradingView ideas search -- specific idea URL not individually resolved)",Gold (XAU/USD),not stated,Support/resistance breakout,"Hold above support 5,050 then break above resistance zone 5,080-5,090","Requires price to first hold the nearer support before attempting the resistance break -- a two-step confirmation, not a single trigger","Below 5,035","Staged targets at 5,090 / 5,120 / 5,150",Published idea; outcome not confirmed in the source snippet,documented published trade idea (outcome unconfirmed)
"https://www.tradingview.com (S&P 500 short idea, aggregated via TradingView ideas search -- specific idea URL not individually resolved)",S&P 500,not stated,Support/resistance range fade,"Short entry within the 7,050-7,080 zone","Zone treated as established overhead resistance; invalidated by a DAILY CLOSE above 7,100 (close-based invalidation, not a wick touch)","Daily close above 7,100","6,850",Published idea stated as >1:4 reward:risk; outcome not confirmed in the source snippet,documented published trade idea (outcome unconfirmed)
https://in.tradingview.com/chart/USOIL/dRV3Lvha-USOIL-Butterfly-Pattern-Support-Channel,US Oil (USOIL/WTI),not stated,Support/resistance range trade,Long from the 42.60 support of the established range,Range channel with a defined top/bottom (butterfly/pattern context per the chart title) -- fade only within the established boundaries,42.12 (just below the range support),44.20 (range resistance),Published idea; outcome not confirmed in the source snippet,documented published trade idea (outcome unconfirmed)
https://es.tradingview.com/chart/IBM/FQfXm4fC-Trading-inside-the-range-Real-example-and-trade-Idea-IBM,IBM,not stated,Support/resistance range trade + trendline break,Entry above a level following a broken descending trendline plus a corrective price structure,Requires the trendline break AND a completed corrective structure with enough room to the next level to clear a minimum 1.5:1 reward:risk before the trade is considered valid at all,Below a defined structural level (author-marked),Move stop to breakeven at the 1st Fibonacci extension; take profit at the 2nd Fibonacci extension,Presented explicitly as a 'real example' trade idea by the author; final P&L not captured in the summary,documented published trade idea
https://www.luxalgo.com/blog/5-rsi-entry-strategies-using-support-and-resistance/,generic,4H/Daily/Weekly,Support/resistance + RSI reversal (systematic rule),RSI crosses back above 30 while price holds above a support level that has been tested 2+ times,"Requires range-bound market conditions; support must be well-established, not a fresh/untested level",1-2% below the support level,"Prior resistance level, or minimum 2:1 reward:risk",Rule description only,teaching/rule
https://www.luxalgo.com/blog/how-volume-confirms-breakouts-in-trading/,generic,not fixed,Breakout (volume-confirmed),Close beyond a consolidation range boundary,"Volume on the breakout bar must be at or above ~120-150% of the 20-bar average volume; breakouts on volume 50%+ above average are cited as materially more likely to hold, while low-volume breaks are cited as commonly failing","Just inside the broken range, or an ATR-multiple below/above the breakout level","1R-2R, or the next meaningful support/resistance level","Rule description with cited tendency, not a single trade's numeric result",teaching/rule
https://www.mindmathmoney.com/articles/the-bollinger-band-squeeze-trading-strategy-a-comprehensive-guide,generic,not fixed,Breakout (Bollinger Band squeeze release),A strong candle closes beyond the upper or lower Bollinger Band after a period of visible band contraction (the 'squeeze'),"Bands must have visibly narrowed first (low realized volatility) -- entry is the transition from low to expanding volatility, not a bare band touch in normal conditions","Opposite band (upper band trades use the lower band as the stop, and vice versa)",1-2x the width of the band at the moment of breakout (the 'squeeze range'),Cited: roughly 30-40% of squeezes fail to reach a 1:2 target; one cited setup variant shows a 54% win rate with average winners ~3.2x average losers,teaching/rule + cited aggregate statistic
https://www.tradingsim.com/blog/symmetrical-triangle,BTC/USD,4-hour,Breakout (chart pattern -- symmetrical triangle),Candle closes outside the triangle's upper or lower trendline on a volume spike,Pattern formed over ~2 weeks on the 4H chart before the break; article generally requires higher realized volume on the breakout bar than during the triangle's formation to treat the break as real vs. a false break in a still-quiet range,Not specified numerically in the summary,Measured move: project the triangle's widest point (the base) from the breakout point,Cited 2023 BTC example: breakout led to a move of roughly the same size as the triangle base (~200-pip-equivalent move cited in the aggregated search summary),"documented example (specific pattern instance, exact date not confirmed in fetched text)"
https://chartinglens.com/blog/liquidity-sweeps-trading-guide,generic,"HTF for the pool, LTF for entry",Liquidity sweep / stop-hunt reversal,"After the sweep, wait for price to reclaim the swept level AND break the most recent lower high (or higher low) WITH displacement (fast, full-bodied candles) -- this is the Market Structure Shift (MSS) that is the actual entry trigger, not the sweep itself","The swept level must be a visible, significant liquidity pool -- equal highs/lows the whole market can see, a multi-week swing extreme, or a session extreme -- AND must sit in the direction the higher-timeframe bias already favors (don't fade a sweep against a powerful HTF trend)","Below/above the extreme of the sweep wick itself, plus a small buffer -- explicitly warns against placing the stop INSIDE the sweep wick, since that recreates the exact cluster that just got hunted","The opposing liquidity pool (old highs/lows, prior session extreme); cited expected reward:risk of 3R-5R or better",Rule description only,teaching/rule (ICT/SMC-derived)
https://fxnx.com/en/blog/ict-turtle-soup-gold-asian-high-stop-hunt,Gold (XAU/USD),"Asian session high set on higher TF, 5-min/1-min for the MSS trigger",Liquidity sweep / stop-hunt reversal (Turtle Soup),"After price spikes above the Asian session high and immediately shows weakness (fails to hold, reverses below a swing low made during the spike = the MSS), enter on the retrace into the resulting Fair Value Gap / Order Block","Requires the London Open kill-zone volatility expansion to drive the sweep; the Asian high must be a clean, low-volume-formed level (obvious to the whole market) for the liquidity argument to hold",Just above the high made by the stop-hunt spike itself,"First target = Asian session low; further targets = previous day's low, then HTF FVGs/order blocks","Worked numeric example given: Asian high $2,350.50, stop-hunt spike to $2,352.00, MSS swing low $2,348.00, entry (FVG) $2,349.00, stop $2,352.50 (35-pip risk), first target ~105 pips away (Asian low) = ~1:3 reward:risk",illustrative teaching example with fully worked hypothetical numbers (not stated as a closed real trade)
https://www.dailyforex.com/forex-articles/london-breakout-strategy/210474,"EUR/USD, GBP/USD, USD/JPY (majors only)",15-30 minute chart for range definition,Session-open breakout (London Breakout),Full candle close beyond the Asian session's high or low as the London session opens,Requires the pre-London Asian range to be established first (used AS the setup); the London open itself supplies the volume surge that is the trigger -- the strategy explicitly does not fire outside this session transition,"Opposite side of the Asian range (below the range low for a long breakout, above the range high for a short breakout)",Not fixed numerically in the summary; guide recommends risking 1-2% of account per trade,Rule description only in the fetched summary (a dedicated backtest page for this strategy exists on quantifiedstrategies.com but was blocked by a bot check during this research and could not be independently confirmed),teaching/rule
https://www.litefinance.org/blog/for-beginners/trading-strategies/opening-range-breakout-strategy/,"US stock indices, commodity futures; also used in FX during London/NY sessions",Opening range = first 15-30 minutes; M5 for entry signal,Session-open breakout (Opening Range Breakout / ORB),"A breakout candle closes outside the opening range with (a) a range exceeding the average of the prior 5 candles and (b) most of the candle body outside the range -- both conditions required, not just a level cross",The opening-range window itself (first 15-30 min of the session) must be treated as the reference range; entries outside that formation window are a different setup,Three variants offered: halfway between the signal candle's close and its extreme; beyond the signal candle's high/low; or the midpoint of the opening range,"Scale out: first partial at 2:1 reward:risk, second partial at 3:1","Cited success rate: 40-60%, explicitly stated to depend on volatility, trend direction, and overall market environment",teaching/rule + cited aggregate statistic
https://themarketstructuretrader.com/trend-pullback-trading-strategy/,not tied to one instrument (EA/indicator sold generically),"Daily bias, 4H setup, 15-min trigger (multi-timeframe stack)",Trend-continuation pullback,Enter on a 15-minute 'reversal alert' signal (weakness against the pullback / resumption in trend direction),"Daily 72-EMA sets the directional bias FIRST (price above = long-only bias, below = short-only bias); THEN the 4H RSI must be extended (above 70/80 for a downtrend's counter-trend pullback, mirrored for an uptrend) before the 15-min entry signal is even considered -- a full three-timeframe stack, matching this project's own MTF work in step58",Not specified in the fetched summary,Not specified in the fetched summary,Page shows performance charts for an automated EA version of the rule but no specific numeric trade example was captured in this research,teaching/rule
https://www.strike.money/technical-analysis/pullback-trading,not specified (generic illustration),not specified,Trend-continuation pullback,Enter near the pullback low/high once buyers/sellers visibly step back in,Requires a clearly established prior directional move (article's own example: a rise from 50 to 70 before the pullback to 65) so the pullback has a trend to continue,Below the recent swing low (uptrend) / above the recent swing high (downtrend),Not fixed; aims to participate in the next leg of the existing trend,"Separate numeric example given in the same source: entry 14102, stop 14077, trailing target 14156 (~1:2 reward:risk)",illustrative teaching example
