rule_id,setup,component,exact_rule,timeframe,discretionary,source_video,timestamp
P13,ALL,precondition/bias-override,CRITICAL: bias does NOT gate entry direction. The live sweep-then-confirmation sequence overrides the pre-formed bias. He comes in bullish and shorts.,5m,NO,p2p_strategy_explained,0:39:05
P14,ALL,precondition/news-A,"On scheduled fundamental data days (he names PPI), halve the contract size rather than skip.",n/a,NO,p2p_risk_mgmt_psych,0:14:23
P15,ALL,precondition/news-B,CONTRADICTS P14: on FOMC/CPI he states he will not trade at all.,n/a,CONTRADICTION,wrong_timeframe_loss,0:01:48
D01,ALL,definition/swing-high,"A swing high is a TWO-CANDLE pattern: one up-move candle immediately followed by one down-move candle. The level is the highest WICK of the two. No N-bar fractal, no lookback window, no minimum move.",any,NO,only_liquidity_guide,0:05:21
D02,ALL,definition/swing-low,Mirror of D01: down candle then up candle; level is the lowest wick of the two. Confirms one bar after the pivot.,any,NO,liquidity_profitable_fast,0:00:35
D03,ALL,definition/most-recent-swing,"The monitored swing updates every time a new 2-candle pattern forms, including to a LOWER low while still inside an uptrend. Older, more significant swings are not the reference.",any,NO,p2p_break_of_structure,0:09:03 / 0:03:09
D04,ALL,definition/trend,"Uptrend = higher highs and higher lows; downtrend = lower highs and lower lows, using the D01/D02 swing points.",any,NO,p2p_break_of_structure,0:00:46
D05,ALL,definition/break-of-structure,BOS-down = candle BODY CLOSE below the most recent swing low. BOS-up = body close above the most recent swing high. A wick through the level never counts.,any,NO,p2p_break_of_structure,0:03:06 / 0:08:43 / 0:11:21
D06,ALL,definition/BOS-comparison-point,"The body close is compared against the swing's WICK extreme (lowest/highest point), not the swing candle's body. An exact touch is rejected.",any,NO,p2p_break_of_structure,0:04:51
D07,ALL,definition/FVG-bullish,Bullish FVG = low of candle 3 is above high of candle 1 across three consecutive candles. Candle colours are irrelevant.,any,NO,p2p_fair_value_gaps,0:04:24 / 0:03:17
D08,ALL,definition/FVG-bearish,Bearish FVG = high of candle 3 is below low of candle 1.,any,NO,p2p_fair_value_gaps,0:07:46
D09,ALL,definition/FVG-no-gap,If the relevant wicks of candle 1 and candle 3 overlap at all there is no FVG.,any,NO,p2p_fair_value_gaps,0:10:45
D10,ALL,definition/FVG-minimum-size,"GAP IN SOURCE: no minimum size, tick, percentage or ATR filter is given anywhere. He accepts a marginal gap by eye ('yeah, barely'). Do not invent a threshold.",any,UNSPECIFIED,p2p_inverse_fvg,0:13:46
D11,ALL,definition/FVG-invalidation,An FVG dies on a full candle BODY CLOSE through it. A wick into it does not invalidate. There is no 50-percent-fill rule; 'filled' and 'invalidated' are separate states.,any,NO,p2p_fair_value_gaps,0:16:12 / 0:17:44
D12,ALL,definition/FVG-stacking,FVGs formed with no retrace between them count as one zone and only the DEEPEST is the true invalidation point. Deciding which gaps qualify as stacked is visual.,any,YES,p2p_daily_bias,0:15:13
D13,ALL,definition/inverse-FVG,"An IFVG is an FVG that receives a full body close through it while the trend it belonged to is still running. Same close-through test as D11, reinterpreted as a reversal signal.",any,NO,p2p_inverse_fvg,0:20:48
D14,ALL,definition/IFVG-preference,"IFVG is used interchangeably with BOS as confirmation and he prefers it because it fires EARLIER, which materially tightens the stop (halved it in his worked example, 1:0.45 -> 1:1.3).","5m,1m",NO,p2p_inverse_fvg,0:11:42 / 0:10:42-0:11:07
D15,ALL,definition/equilibrium,"Equilibrium = 50 percent of the range from the MOST RECENT swing low to the MOST RECENT swing high (uptrend), or most recent high to most recent low (downtrend). Above 50 = premium, below = discount.",any,NO,p2p_equilibrium,0:05:32 / 0:06:59
D16,ALL,definition/SMT-bearish,"Bearish SMT = at the same swing/sweep event, one index makes a higher high while the other makes a lower high. Bullish SMT is the mirror at lows.",any,NO,p2p_smt_divergence,0:05:28 / 0:07:03
D17,ALL,definition/SMT-leading-index,"Trade the LEADING index: the one that FAILED to sweep (made the less extreme move), not the one that broke to the new extreme.",any,NO,p2p_smt_divergence,0:10:39
D18,ALL,definition/SMT-relevance,SMT only counts when it occurs AT a draw on liquidity. Away from a sweep he calls the raw pattern useless. The co-location judgement is visual.,any,YES,p2p_smt_divergence,0:05:20 / 0:01:04
D19,ALL,definition/liquidity,"Liquidity = resting orders above swing highs (buy-side) and below swing lows (sell-side). Level types: session H/L, previous day H/L, swing H/L, relative-equal H/L, low-resistance stacks, data/news candle H/L.",any,NO,p2p_liquidity,0:02:14
D20,ALL,definition/equal-highs-tolerance,GAP IN SOURCE: 'relative equal' highs/lows are defined as dead equal in price but accepted at 50 cents apart on a live chart ('close enough'). No tick or percentage tolerance exists.,any,UNSPECIFIED,p2p_advanced_liquidity,0:38:49 / 0:40:55
D21,ALL,definition/low-resistance-liquidity,A run of consecutive UNSWEPT swing highs (or lows). Trade towards low-resistance liquidity and away from high-resistance (just-swept) liquidity. Minimum count for a cluster is never stated; examples run 2 to 5.,any,PARTIAL (count unspecified),only_liquidity_guide,0:46:34 / 0:46:42
D22,ALL,definition/high-resistance-liquidity,Not a separately drawn level: it is the same level relabelled the moment it has been swept and price is trading away from it.,any,NO,only_liquidity_guide,n/a
A01,A,step1/sweep,Price must trade THROUGH a marked draw on liquidity. A wick through is sufficient to fill orders; no close beyond and no same-candle reclaim is required.,1h/4h/session levels,NO,p2p_strategy_explained,0:35:58
A02,A,step1/sweep-insufficient,The sweep alone is never a trade. Pressing sell just because price took a high out is explicitly rejected.,n/a,NO,p2p_liquidity,0:35:23
A03,A,step1/reaction-required,A breach with no reaction is not a tradeable sweep. 'Reaction' is undefined; in practice the reaction IS step 2's confirmation.,any,YES,liquidity_profitable_fast,0:16:47
A04,A,step2/confirmation,"On the 5-MINUTE chart, in the direction OPPOSITE the sweep, require EITHER a break of structure (D05) OR an inverse FVG (D13). They are alternatives chosen by availability, not preference.",5m,NO,p2p_strategy_explained,0:29:45 / 0:39:54
A05,A,step3/continuation-zone,"After confirmation, price must RETRACE into a continuation confluence formed after step 2: a 5-minute FVG or 5-minute equilibrium.",5m,NO,p2p_strategy_explained,0:36:43
A06,A,step3/no-entry-on-touch,Entering when price merely touches the continuation zone is explicitly wrong; it defeats the purpose of drawing the zone and gets you stopped out.,5m,NO,p2p_strategy_explained,0:32:13 / 0:32:43
A07,A,step4/entry-stage-1,"While price retraces into the 5m zone, the 1-MINUTE chart breaks structure AGAINST the intended trade direction. This is the retrace leg and it is expected.",1m,NO,p2p_strategy_explained,0:33:38
A08,A,step4/entry-stage-2,"ENTRY FIRES when the 1-MINUTE then breaks back IN the trade direction, via BOS or IFVG. Edge-triggered on candle close, never on a level touch, never mid-candle.",1m,NO,p2p_strategy_explained,0:32:24 / 0:34:20
A09,A,step4/entry-variant-slow,Stated alternative for those not using the 1m: wait for the NEXT 5-minute candle to close in the trade direction. He shows this filling after his own TP1 already hit.,5m,NO,p2p_strategy_explained,0:33:03 / 0:37:33
S01,A,stop/placement,THE STOP GOES IMMEDIATELY BEYOND THE SWING POINT FORMED BY THE RETRACE LEG THAT PRODUCED THE ENTRY. Short: above the retrace high. Long: below the retrace low.,1m,NO,p2p_strategy_explained,0:35:09
S02,A,stop/placement-confirm,Same rule restated on two long examples: stops underneath the candlestick that produced the entry confluence.,5m/1m,NO,p2p_daily_bias,0:07:38 / 0:07:54
S03,A,stop/placement-confirm-live,"Same rule on a live trade: after inversing the gap, stop goes underneath it.",1m,NO,75210_one_day,1:38:12
S04,A,stop/rationale,"The level is chosen because it falsifies the specific claim the entry made: if price takes out the retrace extreme, the retrace was not over and the idea is wrong. It is a structural invalidation point, not a volatility or money-management measure.",1m,NO,p2p_strategy_explained,"0:35:09 (inferred rationale, consistent across all examples)"
S05,A,stop/observed-distance,"Observed real stop sizes on ES: 16 ticks, 28 ticks, 34 ticks, with ~35 ticks quoted as his typical maximum. ES tick = 0.25 index points, so 4.00 to 8.75 points, i.e. 0.058 to 0.146 percent of price at ES 6000-6900.",1m,"NO (observation, not target)",p2p_risk_mgmt_psych,0:12:03 / 0:12:17 / 0:12:44
S06,A,stop/not-a-percentage,"NEGATIVE RULE: no percentage stop, no fixed-tick stop, no ATR stop appears anywhere in 237k words. The tick figures are after-the-fact observations used only to sanity-check contract size.",n/a,NO,p2p_risk_mgmt_psych,0:12:00-0:12:45
S07,A,stop/coupled-to-entry,The stop level and the entry trigger are the same object: the swing the entry BOS/IFVG broke away from IS the stop. Choosing the earlier IFVG entry over the BOS entry halves the stop. They cannot be modelled independently.,1m,NO,p2p_inverse_fvg,0:10:42-0:11:07
Z01,ALL,sizing/method,"FIXED CONTRACT COUNT per instrument (one number for ES, one for NQ). He explicitly abandoned percentage-of-balance sizing. Dollar risk floats with whatever the structural stop is that day.",n/a,NO,p2p_risk_mgmt_psych,0:10:50
Z02,ALL,sizing/validation,Choose the contract count by checking that the loss at your typical WIDEST stop (~35 ticks) is tolerable.,n/a,NO,p2p_risk_mgmt_psych,0:12:41
Z03,ALL,sizing/risk-band-A,"Stated risk band: 1 to 3 percent of account per trade. Explicitly rejects 5, 10 and 20 percent.",n/a,NO,p2p_risk_mgmt_psych,0:11:43
Z04,ALL,sizing/risk-band-B,"CONTRADICTS Z03 two sentences later: accepts 3 to 4 percent on wider-stop trades, 'I'm willing to do that'.",n/a,CONTRADICTION,p2p_risk_mgmt_psych,0:13:11
Z05,ALL,sizing/halve-trigger-1,Halve the contract size when the stop is drastically larger than usual.,n/a,NO,p2p_risk_mgmt_psych,0:14:14
Z06,ALL,sizing/halve-trigger-2,Halve the contract size on scheduled fundamental data days.,n/a,NO,p2p_risk_mgmt_psych,0:14:23
Z07,ALL,sizing/live-contradiction,"CONTRADICTS Z01-Z06: on prop-firm evaluation accounts he removes the stop entirely and full-ports the balance. Recorded as behaviour, not as a rule.",n/a,CONTRADICTION,one_setup_48305,0:21:20
T01,A,target/definition,"Targets are OTHER DRAWS ON LIQUIDITY in the trade direction: the same objects used as entry levels. High timeframe highs/lows, previous session highs/lows.",1h/4h/session,NO,p2p_strategy_explained,0:41:20
T02,A,target/multiple,"Multiple targets TP1/TP2/TP3 at successive levels. Worked example: London session lows, Asia session lows, hourly lows.",1h/session,NO,p2p_strategy_explained,0:35:22
T03,A,target/split-unspecified,"GAP IN SOURCE: how position size splits across TP1/TP2/TP3 is never stated, in any of 30 videos, despite being used on every live trade.",n/a,UNSPECIFIED,p2p_strategy_explained,0:40:35
T04,A,target/no-minimum-R,"NEGATIVE RULE: there is no minimum risk-to-reward filter. He reports R after the fact (1:1.3, 1:2, 1:4.81) and explicitly accepts 1:1 when the stop is wide.",n/a,NO,p2p_risk_mgmt_psych,0:13:20 / 0:13:47
T05,A,target/not-an-R-multiple,"NEGATIVE RULE: the target is a price level on the chart. R is an OUTPUT of stop-and-level, never an input. Modelling the exit as an R multiple of the stop inverts his causality.",n/a,NO,p2p_strategy_explained,0:41:20 (structural)
M01,A,management/partial,Take a partial at TP1 (he says 'close half' in the clearest example). Consistent across every live recap.,n/a,PARTIAL (size unspecified),60630_one_setup,0:15:22
M02,A,management/break-even,"Move the stop to break-even immediately after the TP1 partial, making the remainder a risk-free trade. Universal in the recaps and NEVER taught in the Path to Profitability series.",n/a,NO,pm_session_trades,0:40:54
M03,A,management/trail,"Trailing, when used, is placed at a structural point slightly in profit, not at a fixed distance. Ad hoc.",1m,YES,75210_one_day,1:07:55
M04,ALL,management/flat-by-close,"Close everything by end of session. Day-trading constraint, no overnight holds in any recap.",n/a,NO,only_setup_that_mattered_103k,0:31:58
M05,A,management/discretionary-close,"He will close a WINNING trade early purely because it is taking too long. Pure judgment, no rule.",n/a,YES,75210_one_day,1:38:39
I01,ALL,invalidation/no-confirmation,"No confirmation, no trade. A sweep alone, or an IFVG alone, is never sufficient.",5m/1m,NO,p2p_inverse_fvg,0:12:23
I02,ALL,invalidation/wick-rejected,"Wick-only breaks never count, for BOS or for FVG invalidation.",any,NO,p2p_break_of_structure,0:11:21
I03,ALL,invalidation/time-cutoff,"Past 10:30 ET, do not take the setup.",n/a,NO,p2p_time_theory,0:05:33
I04,ALL,invalidation/early-open,"Avoid the first ~10 minutes after 09:30. Stated as a personal rule, then violated on camera and self-flagged as atypical.",1m,YES (self-violated),60630_one_setup,0:31:06
I05,ALL,invalidation/one-trade-per-day,"Once the day's trade is taken, stop looking. Stated, then violated twice on camera (two trades in a session; re-entry after a stop-out).",n/a,CONTRADICTION,one_setup_48305,0:49:52
I06,ALL,invalidation/do-not-trade-impaired,Do not trade while sick. Stated after misreading the 3-minute chart as the 5-minute and shorting anyway.,n/a,YES,wrong_timeframe_loss,0:49:43
I07,A,invalidation/skipping-step-4,"The 1-minute step-4 confirmation is the load-bearing filter. Skipping it, twice, cost 84k in one session; he names the omission as the mistake.",1m,NO,80k_mistake,0:11:15 / 0:31:47 / 0:36:12 / 0:53:39
F01,ALL,frequency,"Approximately one trade per day, inside a 20-60 minute window, with a hard stand-down at 10:30 ET. Zero-trade days are normal and published.",n/a,NO,one_setup_48305,0:49:52
F02,ALL,hit-rate/absent,GAP IN SOURCE: no win rate is stated anywhere in the 13-part Path to Profitability course. He teaches students to compute their own from a journal.,n/a,UNSPECIFIED,p2p_risk_mgmt_psych,n/a
F03,ALL,hit-rate/claimed,"Only sourced figure: DAILY win rate ~64.29 percent with average R ~1:1.33, from TradeZella on screen. NOTE: daily, not per-trade. Round 72 tested it as per-trade.",n/a,NO (but different quantity than tested),updated_strategy_2026,per step72 notes
F04,ALL,loss-distribution,"Public single-day losses on the channel include 192560, 161430, 151780, 133760, 99500, 97421, 76340 and 75610 dollars. The loss tail is long and on record.",n/a,NO,channel video titles,n/a
C01,C,setup/1m-scalp,"Compress the cascade one tier: sweep on 5m, confirm and enter on 1m. He takes this when many draws are about to be hit and he judges no HTF confirmation will come. Explicitly experience-based, NOT mechanizable from the source.","5m,1m",YES,p2p_strategy_explained,0:09:41 / 0:09:58
C02,D,setup/PM-session,"PM session opens 13:00 ET. He states he does not trade it, then trades at 10:45 and later on camera, self-flagged as atypical. Mechanics unchanged.","5m,1m",CONTRADICTION,p2p_time_theory,0:04:10 vs pm_session_trades 0:36:04
B01,B,setup/continuation,Same four-step machine with the HTF trend already established: price retraces into an HTF FVG or equilibrium and continues. No separate frequency or hit rate is stated for this variant.,"1h,5m,1m",NO,p2p_daily_bias,0:02:55
X01,A,MISMATCH/stop-floor,"step72_tjr.py used a single train-median stop percentage floored at STOP_FLOOR_PCT=0.15. His entire real stop range is 0.058-0.146 percent. The floor sits ABOVE his widest real stop, so round 72 never placed a stop where he places one.",n/a,n/a,p2p_risk_mgmt_psych vs step72_tjr.py,0:12:03 vs line 152
X02,A,MISMATCH/stop-constant,His stop varies per trade by more than 2x (16 to 35 ticks) because it is read off structure. Round 72 applied one constant percentage to every trade.,n/a,n/a,p2p_risk_mgmt_psych vs step72_tjr.py,0:12:17 vs train_median_stop_pct
X03,A,MISMATCH/target,Round 72 set target_pct = stop_pct * rmult and swept rmult. His target is a liquidity level and R is an output. Different quantity.,n/a,n/a,p2p_strategy_explained vs step72_tjr.py,0:41:20 vs gauntlet_index
X04,ALL,MISMATCH/swing-definition,"Round 72 used confirmed_swings(d,k) at k=3: a centered 7-bar fractal confirmed 3 bars late. His swing is a 2-candle pattern confirmed 1 bar late. Different level set AND 3x the latency, which also widens the stop.",any,n/a,only_liquidity_guide vs step41_shorts.py,0:05:21 vs line 147
X05,ALL,MISMATCH/BOS-state-gate,bos_chain requires a persistent HH+HL / LH+LL trend state before classifying a break. He requires no such state and explicitly keeps monitoring inside an uptrend that just made a lower high and lower low.,any,n/a,p2p_break_of_structure vs step56_smc_toolkit.py,0:09:03 vs bos_chain
X06,A,MISMATCH/cross-index-filter,Round 72's partner_alignment required both indices' trend state to AGREE. At the sweep his rule requires them to DISAGREE (that is what SMT is) and he trades the index that FAILED to sweep. The filter removes his highest-conviction setup by construction.,5m,n/a,p2p_smt_divergence vs step72_tjr.py,0:10:39 vs partner_alignment
X07,A,MISMATCH/timeframe-collapse,Round 72's index leg ran at 1h. His manipulation window is 20 minutes and his entry window is 20 minutes inside a 60-minute stand-down. A 1-hour bar cannot represent that sequence; the entire time structure is invisible.,1h vs 5m/1m,n/a,p2p_time_theory vs step72_tjr.py,0:03:46 vs docstring
X08,A,MISMATCH/BTC-transfer-context,"The BTC leg dilated his 5m->15m and 1m->5m on an instrument with no 09:30 open, no session cutoff, no pre-market and no correlated partner index. Four of six preconditions are undefined on BTC.",15m/5m,n/a,p2p_time_theory vs step72_tjr.py,n/a
