message_id,relevance_0_3,asset,implied_direction,event_type,reason
9694,0,crypto-broad,bullish,opinion,"pundit speculation, no new info"
9695,1,BTC,bullish,adoption,BTC lending product milestone
9696,0,equities,neutral,opinion,unrelated equities pundit advice
9698,2,crypto-broad,bullish,adoption,major global bank launches institutional crypto trading
9699,3,macro,bearish,macro-policy,hotter-than-expected CPI print
9700,1,crypto-broad,bullish,regulation,rhetoric ahead of crypto-week vote
9701,1,macro,bullish,geopolitics,new trade deal announced
9702,2,macro,bullish,opinion,aggressive rate-cut demand
9703,2,crypto-broad,bullish,regulation,DOJ drops investigation into crypto prediction market
9705,2,crypto-broad,bullish,regulation,anticipatory rhetoric ahead of major crypto vote
9706,1,crypto-broad,bullish,opinion,repeat rhetoric
9707,2,crypto-broad,bullish,adoption,"major bank reverses stance, enters stablecoins"
9710,1,BTC,bullish,opinion,"bank research note, sentiment positive"
9712,1,BTC,bullish,opinion,"exec supportive opinion, no new info"
9713,3,crypto-broad,bearish,regulation,major crypto legislation package fails to advance
9714,2,crypto-broad,bearish,regulation,vote breakdown detail on failed crypto bills
9715,1,crypto-broad,bearish,regulation,delay confirmation on crypto legislation
9716,2,macro,bullish,macro-policy,specific successor named for Fed chair
9717,1,crypto-broad,bullish,other,"price milestone, no new info"
9719,2,crypto-broad,bullish,regulation,vote-count shift toward passing crypto bills
9720,1,macro,bullish,macro-policy,unverified resignation rumor
9721,1,crypto-broad,bullish,adoption,stablecoin expands to new blockchain
9722,2,macro,bullish,macro-policy,cooler-than-expected producer-price data
9723,0,macro,neutral,other,"inflation trivia, no new info"
9724,1,crypto-broad,bullish,other,"price milestone, no new info"
9725,0,BTC,bullish,opinion,"speculative opinion, no new info"
9727,1,crypto-broad,bullish,whale-flows,modest short liquidation
9728,2,macro,bullish,macro-policy,escalated report of imminent Fed chair firing
9730,3,macro,bullish,macro-policy,major report of concrete action to remove Fed chair
9731,2,crypto-broad,bullish,adoption,major bank plans own stablecoin
9732,3,crypto-broad,bullish,regulation,major crypto legislation formally advances
9733,1,crypto-broad,bearish,regulation,"vote breakdown detail, bills still advanced overall"
9734,1,crypto-broad,bullish,other,"price milestone, no new info"
9735,1,crypto-broad,neutral,adoption,"diplomatic crypto meeting, no concrete outcome"
9736,1,BTC,bullish,opinion,"pundit price prediction, no new info"
9737,1,BTC,bullish,regulation,proposed bill recognizing crypto for mortgages
9738,2,macro,bearish,macro-policy,Fed official signals no near-term rate cut
9739,1,crypto-broad,bullish,other,"price milestone, no new info"
9741,1,BTC,bullish,other,"price milestone, no new info"
9742,1,crypto-broad,bearish,opinion,"senator warns systemic risk, no policy action"
9743,0,BTC,bullish,opinion,"rhetorical quote, no new info"
9745,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9746,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9747,1,crypto-broad,bearish,opinion,congressman critical rhetoric
9748,1,crypto-broad,bullish,adoption,major Russian bank crypto-custody launch
9749,0,crypto-broad,bullish,opinion,"congressman supportive rhetoric, no new info"
9750,1,crypto-broad,bearish,opinion,congressman opposes crypto bill
9751,2,crypto-broad,bullish,etf,major ETF issuer files to add staking
9753,0,crypto-broad,bearish,opinion,repeat critical rhetoric
9754,1,macro,bearish,geopolitics,steep tariff on narrow product category
9755,1,crypto-broad,bullish,regulation,administration supports minor tax exemption
9756,3,crypto-broad,bullish,regulation,major crypto market-structure bill passes House
9757,3,crypto-broad,bullish,regulation,major stablecoin bill passes House
9758,2,crypto-broad,bullish,regulation,anti-CBDC bill passes House
9759,1,crypto-broad,bullish,regulation,"SEC chair supportive statement, repeat news"
9761,3,crypto-broad,bullish,regulation,huge potential new crypto capital-inflow channel
9762,1,crypto-broad,bullish,other,"price milestone, no new info"
9764,2,crypto-broad,bullish,other,large 24h rally and market-cap milestone
9766,2,macro,bearish,macro-policy,escalated legal-action threat against Fed chair
9768,1,crypto-broad,bullish,regulation,SEC considers regulatory relief for tokenization
9769,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9770,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9771,1,crypto-broad,bullish,other,"price milestone, no new info"
9773,0,crypto-broad,bullish,opinion,"celebrity anecdote, retrospective"
9774,2,equities,bullish,company-news,Coinbase equity reaches multi-year high
9776,1,crypto-broad,bullish,regulation,repeat supportive SEC statement
9777,1,crypto-broad,bullish,opinion,repeat administration rhetoric
9778,2,crypto-broad,bullish,adoption,major brokerage launches crypto trading
9779,1,crypto-broad,bullish,opinion,payments giant supportive statement
9782,0,crypto-broad,bullish,opinion,"CEO opinion, no new info"
9783,1,crypto-broad,bullish,opinion,"CEO enthusiastic reaction, no new info"
9785,1,crypto-broad,bullish,opinion,presidential rhetoric
9786,1,crypto-broad,bullish,opinion,presidential rhetoric
9787,3,crypto-broad,bullish,regulation,major stablecoin bill signed into law
9788,1,crypto-broad,bullish,opinion,presidential rhetoric
9789,1,crypto-broad,bullish,company-news,crypto-adjacent fintech joins major index
9790,1,crypto-broad,bullish,opinion,repeat celebratory statement
9791,1,crypto-broad,bullish,opinion,repeat celebratory statement
9792,0,crypto-broad,bullish,opinion,speculative CEO prediction
9793,0,other,neutral,other,unrelated corporate scandal news
9795,0,BTC,neutral,other,historical performance trivia
9796,2,macro,bullish,macro-policy,"further resignation speculation, unconfirmed"
9798,0,other,neutral,opinion,unrelated AI commentary
9801,0,other,neutral,opinion,vague unrelated comment
9802,1,crypto-broad,bullish,other,"price milestone, no new info"
9804,0,BTC,bullish,opinion,"vague hint, no new info"
9805,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9806,1,crypto-broad,bullish,other,"price milestone, no new info"
9808,1,macro,bullish,opinion,repeat Powell criticism
9810,1,crypto-broad,bullish,other,notable single-day altcoin rally
9812,0,BTC,neutral,opinion,"vague presidential post, no info"
9813,0,crypto-broad,neutral,other,"market-cap milestone, low-relevance segment"
9815,0,crypto-broad,neutral,opinion,vague rhetorical quote
9816,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9818,3,BTC,bullish,whale-flows,very large Strategy BTC purchase ($734M)
9819,3,BTC,bullish,whale-flows,massive corporate BTC treasury purchase ($2B)
9821,2,macro,bearish,macro-policy,Treasury Secretary calls for full Fed review
9823,1,crypto-broad,bullish,company-news,crypto prediction market US re-entry via acquisition
9825,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9827,3,crypto-broad,bullish,regulation,SEC formally states ETH is not a security
9828,2,macro,bearish,macro-policy,formal criminal referral filed against Fed chair
9830,1,crypto-broad,bullish,opinion,repeat supportive SEC statement
9831,2,crypto-broad,bullish,company-news,major derivatives product formally launched
9832,1,equities,bullish,other,equities record close
9834,2,crypto-broad,bullish,etf,strong ETH ETF trading-volume day
9835,1,crypto-broad,bullish,other,"price milestone, no new info"
9837,1,macro,bullish,macro-policy,repeat unverified resignation rumor
9839,2,crypto-broad,bullish,adoption,major bank considers crypto-collateral lending
9840,2,crypto-broad,bullish,adoption,huge user-base crypto wallet rollout
9842,2,crypto-broad,bullish,adoption,major regional bank partners for crypto services
9844,2,crypto-broad,bullish,regulation,FBI drops investigation into exchange founder
9846,0,crypto-broad,bullish,opinion,senator generic supportive rhetoric
9847,1,macro,bullish,opinion,repeat Fed criticism
9849,1,macro,bullish,macro-policy,proposed tax-policy change under consideration
9850,2,macro,bullish,geopolitics,new trade deal with tariff terms specified
9852,1,macro,bullish,macro-policy,"repeat resignation speculation, softened"
9853,2,BTC,bullish,other,price milestone recovery
9854,1,BTC,bullish,adoption,payments platform enables BTC acceptance
9856,3,crypto-broad,bullish,etf,SEC approves diversified multi-crypto ETF conversion
9857,3,macro,bullish,geopolitics,historic trade/investment deal with Japan
9860,1,crypto-broad,bullish,other,altcoin all-time high
9862,2,crypto-broad,bullish,adoption,major banks launch tokenization product
9863,1,crypto-broad,bearish,whale-flows,moderate liquidation over several hours
9864,1,macro,neutral,macro-policy,housing market data point
9865,0,other,neutral,other,unrelated robotics product news
9866,2,macro,bullish,geopolitics,"trade deal nearing finalization, lower tariff"
9868,0,crypto-broad,bullish,opinion,pundit personal opinion
9869,1,crypto-broad,neutral,regulation,anticipatory report announcement
9870,0,equities,bullish,company-news,unrelated equities earnings
9871,2,BTC,bullish,whale-flows,confirms major corporate holder did not sell BTC
9873,1,macro,neutral,macro-policy,"anticipatory event, unusual presidential Fed visit"
9874,1,crypto-broad,bullish,regulation,"new country regulatory framework, minor market"
9875,0,other,neutral,opinion,vague supportive rhetoric
9877,1,crypto-broad,bullish,adoption,"repeat trend confirmation, banks entering stablecoins"
9880,2,macro,bullish,opinion,cabinet official escalates call for Fed chair resignation
9882,1,macro,neutral,macro-policy,anticipatory event build-up
9884,0,none,neutral,other,unrelated internet outage
9885,2,macro,neutral,macro-policy,notable direct meeting between president and Fed chair
9886,1,macro,bullish,opinion,repeat rate-cut rhetoric
9887,0,crypto-broad,neutral,other,"celebrity scandal/lawsuit, low systemic relevance"
9889,2,crypto-broad,bearish,whale-flows,large 24h liquidation total
9890,1,BTC,bearish,other,"price milestone, no new info"
9892,1,macro,bullish,opinion,speculative presidential remark
9894,1,crypto-broad,neutral,company-news,notable personnel move between crypto firms
9895,1,crypto-broad,bullish,opinion,"bank supportive statement, no new info"
9896,2,macro,neutral,macro-policy,Fed chair directly denies resignation rumors
9897,0,macro,neutral,other,novelty government payment feature
9900,0,BTC,bullish,opinion,repeat senator rhetoric
9901,2,macro,bullish,macro-policy,anticipation ahead of FOMC rate decision
9903,1,macro,bullish,opinion,major asset-manager exec calls for cuts
9904,1,crypto-broad,neutral,other,"price milestone, no new info"
9906,2,macro,bullish,geopolitics,"trade truce extension, reduces uncertainty"
9907,1,crypto-broad,bullish,other,"market-cap milestone, no new info"
9909,2,macro,bullish,geopolitics,confirmed EU trade deal
9910,1,crypto-broad,bullish,other,"price milestone, no new info"
9912,1,crypto-broad,bullish,other,altcoin all-time high
9914,1,BTC,bullish,whale-flows,moderate incremental corporate BTC buy
9916,1,crypto-broad,bullish,adoption,payments giant crypto-acceptance expansion
9917,1,crypto-broad,bullish,adoption,brokerage considers stablecoin funding option
9920,1,crypto-broad,bullish,opinion,asset manager supportive statement
9923,0,BTC,bullish,opinion,"CEO opinion, no new info"
9924,2,crypto-broad,bullish,whale-flows,analyst projects major structural ETH demand
9926,1,crypto-broad,bullish,adoption,brokerage launches tokenized equities product
9928,1,BTC,bullish,regulation,proposed bill recognizing crypto in mortgage eligibility
9929,2,macro,bullish,geopolitics,confirmed trade truce extension
9930,1,macro,neutral,macro-policy,fiscal data point on tariff revenue
9931,1,crypto-broad,bullish,etf,"procedural SEC acknowledgment, not approval"
9933,2,macro,bearish,macro-policy,major asset manager forecasts no rate cut
9935,0,crypto-broad,bullish,opinion,repeat supportive statement
