symbol,family,config,train_n,train_dollars_per_trade,train_pct_of_position,train_x_research_cost,train_x_live_venue_cost,val_n,val_dollars_per_trade,val_pct_of_position,val_x_research_cost,val_x_live_venue_cost,trades_per_year_train,trades_per_year_val,verdict,note
GC=F,3-short-term dip-buy,"2-day reading under gold's own 5th percentile (threshold 4.4), above its own 200-day average",44,35.18,0.3533,17.66,1.96,14,95.09,0.9135,45.68,5.08,2.83,2.71,SURVIVOR,
GC=F,3-short-term dip-buy,"2-day reading under gold's own 5th percentile (threshold 4.4), no longer-trend condition (the round-48 mistake)",88,16.51,0.1816,9.08,1.01,28,43.45,0.4261,21.31,2.37,5.66,5.42,SURVIVOR,
GC=F,3-short-term dip-buy,"2-day reading under gold's own 10th percentile (threshold 9.0), above its own 200-day average",94,21.11,0.2135,10.68,1.19,34,35.79,0.3543,17.72,1.97,6.05,6.58,SURVIVOR,
GC=F,3-short-term dip-buy,"2-day reading under gold's own 10th percentile (threshold 9.0), no longer-trend condition (the round-48 mistake)",163,15.98,0.1665,8.32,0.92,54,35.43,0.3391,16.95,1.88,10.48,10.46,SURVIVOR,
GC=F,3-short-term dip-buy,"3-day reading under 15 (S&P's other survivor) (threshold 15.0), above its own 200-day average",65,9.23,0.1161,5.8,0.64,24,85.48,0.7918,39.59,4.4,4.18,4.65,SURVIVOR,
GC=F,3-short-term dip-buy,"3-day reading under 15 (S&P's other survivor) (threshold 15.0), no longer-trend condition (the round-48 mistake)",123,6.64,0.0909,4.54,0.5,42,58.2,0.5339,26.69,2.97,7.91,8.13,SURVIVOR,
IAU,3-short-term dip-buy,"2-day reading under 5 (S&P's literal number) (threshold 5.0), above its own 200-day average",39,51.42,0.4883,12.21,2.71,12,89.02,0.8576,21.44,4.76,3.03,2.8,SURVIVOR,
IAU,3-short-term dip-buy,"2-day reading under 5 (S&P's literal number) (threshold 5.0), no longer-trend condition (the round-48 mistake)",87,5.03,0.0732,1.83,0.41,24,69.04,0.6481,16.2,3.6,6.76,5.59,SURVIVOR,
IAU,3-short-term dip-buy,"2-day reading under gold's own 5th percentile (threshold 4.1), above its own 200-day average",25,50.9,0.5054,12.64,2.81,9,84.72,0.8253,20.63,4.59,1.94,2.1,NOT ENOUGH TRADES,
IAU,3-short-term dip-buy,"2-day reading under gold's own 5th percentile (threshold 4.1), no longer-trend condition (the round-48 mistake)",66,0.17,0.0322,0.8,0.18,19,42.38,0.4136,10.34,2.3,5.13,4.43,SURVIVOR,
IAU,3-short-term dip-buy,"2-day reading under gold's own 10th percentile (threshold 8.4), above its own 200-day average",69,12.53,0.1531,3.83,0.85,21,56.68,0.5504,13.76,3.06,5.36,4.89,SURVIVOR,
IAU,3-short-term dip-buy,"2-day reading under gold's own 10th percentile (threshold 8.4), no longer-trend condition (the round-48 mistake)",128,-6.14,-0.0338,-0.85,-0.19,40,50.97,0.475,11.88,2.64,9.94,9.32,FAIL,
IAU,3-short-term dip-buy,"3-day reading under 15 (S&P's other survivor) (threshold 15.0), above its own 200-day average",55,5.58,0.0926,2.31,0.51,18,70.06,0.6763,16.91,3.76,4.27,4.19,SURVIVOR,
IAU,3-short-term dip-buy,"3-day reading under 15 (S&P's other survivor) (threshold 15.0), no longer-trend condition (the round-48 mistake)",110,-4.12,-0.0113,-0.28,-0.06,34,67.0,0.6156,15.39,3.42,8.54,7.92,FAIL,
GLD,4-trend with a volatility gate,"20/100 average cross, long only, no volatility gate",25,168.83,1.9517,48.79,10.84,8,402.68,3.7867,94.67,21.04,1.92,1.85,NOT ENOUGH TRADES,
GLD,4-trend with a volatility gate,"20/100 average cross, long only, only when the range is ABOVE gold's own trailing one-year median",19,27.07,0.7789,19.47,4.33,7,629.52,5.5749,139.37,30.97,1.46,1.62,NOT ENOUGH TRADES,
GLD,4-trend with a volatility gate,"20/100 average cross, long only, only when the range is BELOW gold's own trailing one-year median",20,468.98,3.8413,96.03,21.34,7,285.05,2.8635,71.59,15.91,1.54,1.62,NOT ENOUGH TRADES,
GLD,4-trend with a volatility gate,"50/200 average cross, long only, no volatility gate",8,1612.23,13.722,343.05,76.23,5,721.28,7.3293,183.23,40.72,0.62,1.15,NOT ENOUGH TRADES,
GLD,4-trend with a volatility gate,"50/200 average cross, long only, only when the range is ABOVE gold's own trailing one-year median",5,3265.23,24.109,602.72,133.94,3,1263.08,12.5827,314.57,69.9,0.38,0.69,NOT ENOUGH TRADES,
GLD,4-trend with a volatility gate,"50/200 average cross, long only, only when the range is BELOW gold's own trailing one-year median",8,1782.22,15.0215,375.54,83.45,5,721.28,7.3293,183.23,40.72,0.62,1.15,NOT ENOUGH TRADES,
GC=F,4-trend with a volatility gate,"20/100 average cross, long only, no volatility gate",34,208.04,2.0422,102.11,11.35,8,419.67,3.8856,194.28,21.59,2.19,1.55,SURVIVOR,
GC=F,4-trend with a volatility gate,"20/100 average cross, long only, only when the range is ABOVE gold's own trailing one-year median",24,39.09,0.7667,38.33,4.26,5,579.62,5.4977,274.89,30.54,1.54,0.97,NOT ENOUGH TRADES,
GC=F,4-trend with a volatility gate,"20/100 average cross, long only, only when the range is BELOW gold's own trailing one-year median",27,464.31,3.5013,175.06,19.45,7,124.18,1.2276,61.38,6.82,1.74,1.36,NOT ENOUGH TRADES,
GC=F,4-trend with a volatility gate,"50/200 average cross, long only, no volatility gate",9,2772.49,17.8232,891.16,99.02,3,1207.8,12.3561,617.81,68.65,0.58,0.58,NOT ENOUGH TRADES,
GC=F,4-trend with a volatility gate,"50/200 average cross, long only, only when the range is ABOVE gold's own trailing one-year median",6,4498.26,26.8648,1343.24,149.25,3,832.2,9.1167,455.84,50.65,0.39,0.58,NOT ENOUGH TRADES,
GC=F,4-trend with a volatility gate,"50/200 average cross, long only, only when the range is BELOW gold's own trailing one-year median",8,3322.58,21.1886,1059.43,117.71,3,1338.9,13.294,664.7,73.86,0.51,0.58,NOT ENOUGH TRADES,
IAU,4-trend with a volatility gate,"20/100 average cross, long only, no volatility gate",24,186.5,2.1045,52.61,11.69,8,405.78,3.8145,95.36,21.19,1.86,1.86,NOT ENOUGH TRADES,
IAU,4-trend with a volatility gate,"20/100 average cross, long only, only when the range is ABOVE gold's own trailing one-year median",18,1.88,0.5494,13.73,3.05,7,635.97,5.6207,140.52,31.23,1.4,1.63,NOT ENOUGH TRADES,
IAU,4-trend with a volatility gate,"20/100 average cross, long only, only when the range is BELOW gold's own trailing one-year median",19,530.57,4.2231,105.58,23.46,7,286.39,2.8829,72.07,16.02,1.48,1.63,NOT ENOUGH TRADES,
IAU,4-trend with a volatility gate,"50/200 average cross, long only, no volatility gate",8,1369.3,12.4233,310.58,69.02,5,805.9,7.9802,199.5,44.33,0.62,1.16,NOT ENOUGH TRADES,
IAU,4-trend with a volatility gate,"50/200 average cross, long only, only when the range is ABOVE gold's own trailing one-year median",5,2943.04,22.6192,565.48,125.66,3,1393.66,13.556,338.9,75.31,0.39,0.7,NOT ENOUGH TRADES,
IAU,4-trend with a volatility gate,"50/200 average cross, long only, only when the range is BELOW gold's own trailing one-year median",7,1072.61,11.8585,296.46,65.88,5,805.9,7.9802,199.5,44.33,0.54,1.16,NOT ENOUGH TRADES,
GLD,5-overnight gap,"gap up at least 0.442% of price (gold's own median gap), continuation: go long at the open, flat at the close",885,-1.82,-0.0182,-0.45,-0.1,243,-7.31,-0.0731,-1.83,-0.41,68.14,56.1,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap up at least 0.442% of price (gold's own median gap), reversal: go short at the open, flat at the close",885,-6.18,-0.0618,-1.55,-0.34,243,-0.69,-0.0069,-0.17,-0.04,68.14,56.1,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap down at least 0.442% of price (gold's own median gap), continuation: go short at the open, flat at the close",750,-2.11,-0.0211,-0.53,-0.12,182,0.83,0.0083,0.21,0.05,57.74,42.02,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap down at least 0.442% of price (gold's own median gap), reversal: go long at the open, flat at the close",750,-5.89,-0.0589,-1.47,-0.33,182,-8.83,-0.0883,-2.21,-0.49,57.74,42.02,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap up at least 0.808% of price (gold's own 75th percentile gap), continuation: go long at the open, flat at the close",440,-0.01,-0.0001,-0.0,-0.0,112,-11.28,-0.1128,-2.82,-0.63,33.88,25.86,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap up at least 0.808% of price (gold's own 75th percentile gap), reversal: go short at the open, flat at the close",440,-7.99,-0.0799,-2.0,-0.44,112,3.28,0.0328,0.82,0.18,33.88,25.86,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap down at least 0.808% of price (gold's own 75th percentile gap), continuation: go short at the open, flat at the close",378,1.95,0.0195,0.49,0.11,95,7.87,0.0787,1.97,0.44,29.1,21.93,SURVIVOR,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap down at least 0.808% of price (gold's own 75th percentile gap), reversal: go long at the open, flat at the close",378,-9.95,-0.0995,-2.49,-0.55,95,-15.87,-0.1587,-3.97,-0.88,29.1,21.93,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap up at least 1.310% of price (gold's own 90th percentile gap), continuation: go long at the open, flat at the close",162,9.5,0.095,2.38,0.53,25,-24.02,-0.2402,-6.01,-1.33,12.47,5.77,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap up at least 1.310% of price (gold's own 90th percentile gap), reversal: go short at the open, flat at the close",162,-17.5,-0.175,-4.38,-0.97,25,16.02,0.1602,4.01,0.89,12.47,5.77,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap down at least 1.310% of price (gold's own 90th percentile gap), continuation: go short at the open, flat at the close",165,11.87,0.1187,2.97,0.66,31,7.02,0.0702,1.76,0.39,12.7,7.16,SURVIVOR,"flat $10,000 position, not compounded; nothing held overnight"
GLD,5-overnight gap,"gap down at least 1.310% of price (gold's own 90th percentile gap), reversal: go long at the open, flat at the close",165,-19.87,-0.1987,-4.97,-1.1,31,-15.02,-0.1502,-3.76,-0.83,12.7,7.16,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap up at least 0.262% of price (gold's own median gap), continuation: go long at the open, flat at the close",1062,-3.17,-0.0317,-1.59,-0.18,333,-5.81,-0.0581,-2.91,-0.32,68.3,64.49,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap up at least 0.262% of price (gold's own median gap), reversal: go short at the open, flat at the close",1062,-0.83,-0.0083,-0.41,-0.05,333,1.81,0.0181,0.91,0.1,68.3,64.49,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap down at least 0.262% of price (gold's own median gap), continuation: go short at the open, flat at the close",887,2.81,0.0281,1.41,0.16,253,-6.67,-0.0667,-3.34,-0.37,57.05,49.0,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap down at least 0.262% of price (gold's own median gap), reversal: go long at the open, flat at the close",887,-6.81,-0.0681,-3.41,-0.38,253,2.67,0.0267,1.34,0.15,57.05,49.0,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap up at least 0.577% of price (gold's own 75th percentile gap), continuation: go long at the open, flat at the close",575,-3.74,-0.0374,-1.87,-0.21,114,-13.51,-0.1351,-6.76,-0.75,36.98,22.08,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap up at least 0.577% of price (gold's own 75th percentile gap), reversal: go short at the open, flat at the close",575,-0.26,-0.0026,-0.13,-0.01,114,9.51,0.0951,4.76,0.53,36.98,22.08,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap down at least 0.577% of price (gold's own 75th percentile gap), continuation: go short at the open, flat at the close",400,5.1,0.051,2.55,0.28,95,-16.69,-0.1669,-8.34,-0.93,25.73,18.4,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap down at least 0.577% of price (gold's own 75th percentile gap), reversal: go long at the open, flat at the close",400,-9.1,-0.091,-4.55,-0.51,95,12.69,0.1269,6.34,0.7,25.73,18.4,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap up at least 1.047% of price (gold's own 90th percentile gap), continuation: go long at the open, flat at the close",232,-9.42,-0.0942,-4.71,-0.52,29,-16.08,-0.1608,-8.04,-0.89,14.92,5.62,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap up at least 1.047% of price (gold's own 90th percentile gap), reversal: go short at the open, flat at the close",232,5.42,0.0542,2.71,0.3,29,12.08,0.1208,6.04,0.67,14.92,5.62,SURVIVOR,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap down at least 1.047% of price (gold's own 90th percentile gap), continuation: go short at the open, flat at the close",158,0.63,0.0063,0.31,0.03,24,-34.69,-0.3469,-17.34,-1.93,10.16,4.65,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GC=F,5-overnight gap,"gap down at least 1.047% of price (gold's own 90th percentile gap), reversal: go long at the open, flat at the close",158,-4.63,-0.0463,-2.31,-0.26,24,30.69,0.3069,15.34,1.7,10.16,4.65,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap up at least 0.444% of price (gold's own median gap), continuation: go long at the open, flat at the close",878,-3.46,-0.0346,-0.86,-0.19,235,-8.48,-0.0848,-2.12,-0.47,68.2,54.74,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap up at least 0.444% of price (gold's own median gap), reversal: go short at the open, flat at the close",878,-4.54,-0.0454,-1.14,-0.25,235,0.48,0.0048,0.12,0.03,68.2,54.74,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap down at least 0.444% of price (gold's own median gap), continuation: go short at the open, flat at the close",743,-1.9,-0.019,-0.47,-0.11,178,3.47,0.0347,0.87,0.19,57.72,41.46,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap down at least 0.444% of price (gold's own median gap), reversal: go long at the open, flat at the close",743,-6.1,-0.061,-1.53,-0.34,178,-11.47,-0.1147,-2.87,-0.64,57.72,41.46,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap up at least 0.824% of price (gold's own 75th percentile gap), continuation: go long at the open, flat at the close",446,-0.68,-0.0068,-0.17,-0.04,104,-14.47,-0.1447,-3.62,-0.8,34.65,24.23,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap up at least 0.824% of price (gold's own 75th percentile gap), reversal: go short at the open, flat at the close",446,-7.32,-0.0732,-1.83,-0.41,104,6.47,0.0647,1.62,0.36,34.65,24.23,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap down at least 0.824% of price (gold's own 75th percentile gap), continuation: go short at the open, flat at the close",365,6.89,0.0689,1.72,0.38,94,4.89,0.0489,1.22,0.27,28.35,21.9,SURVIVOR,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap down at least 0.824% of price (gold's own 75th percentile gap), reversal: go long at the open, flat at the close",365,-14.89,-0.1489,-3.72,-0.83,94,-12.89,-0.1289,-3.22,-0.72,28.35,21.9,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap up at least 1.328% of price (gold's own 90th percentile gap), continuation: go long at the open, flat at the close",166,7.63,0.0763,1.91,0.42,24,-27.94,-0.2794,-6.99,-1.55,12.89,5.59,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap up at least 1.328% of price (gold's own 90th percentile gap), reversal: go short at the open, flat at the close",166,-15.63,-0.1563,-3.91,-0.87,24,19.94,0.1994,4.99,1.11,12.89,5.59,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap down at least 1.328% of price (gold's own 90th percentile gap), continuation: go short at the open, flat at the close",159,21.58,0.2158,5.39,1.2,32,3.81,0.0381,0.95,0.21,12.35,7.45,SURVIVOR,"flat $10,000 position, not compounded; nothing held overnight"
IAU,5-overnight gap,"gap down at least 1.328% of price (gold's own 90th percentile gap), reversal: go long at the open, flat at the close",159,-29.58,-0.2958,-7.39,-1.64,32,-11.81,-0.1181,-2.95,-0.66,12.35,7.45,FAIL,"flat $10,000 position, not compounded; nothing held overnight"
GLD 1-hour,6-breakout on intraday bars,"break of the prior 20-bar high on a close, leave on a close below the 20-bar average",55,63.49,0.5677,14.19,3.15,19,41.51,0.4262,10.65,2.37,31.57,33.0,SURVIVOR,first 60% is 1.74 years — thin
GLD 1-hour,6-breakout on intraday bars,"break of the prior 55-bar high on a close, leave on a close below the 20-bar average",41,47.8,0.458,11.45,2.54,17,-2.5,0.0022,0.06,0.01,23.54,29.53,SURVIVOR,first 60% is 1.74 years — thin
GLD 1-hour,6-breakout on intraday bars,"break of the prior 100-bar high on a close, leave on a close below the 20-bar average",27,107.01,0.9661,24.15,5.37,14,-6.27,-0.0348,-0.87,-0.19,15.5,24.32,NOT ENOUGH TRADES,first 60% is 1.74 years — thin
gold future 1-hour,6-breakout on intraday bars,"break of the prior 20-bar high on a close, leave on a close below the 20-bar average",152,22.49,0.1992,9.96,1.11,55,39.49,0.3678,18.39,2.04,106.11,113.5,SURVIVOR,first 60% is 1.43 years — thin
gold future 1-hour,6-breakout on intraday bars,"break of the prior 55-bar high on a close, leave on a close below the 20-bar average",90,31.44,0.2837,14.18,1.58,39,53.42,0.4969,24.84,2.76,62.83,80.48,SURVIVOR,first 60% is 1.43 years — thin
gold future 1-hour,6-breakout on intraday bars,"break of the prior 100-bar high on a close, leave on a close below the 20-bar average",71,28.67,0.2664,13.32,1.48,35,59.55,0.553,27.65,3.07,49.56,72.22,SURVIVOR,first 60% is 1.43 years — thin
